"magazine","year","month","seq_issue","page_no","category","title","sub-title","author(s)","photographer(s)","optional-1","optional-2","optional-3"
"PWW","2008","6","169","12","Out on a Limb","How to enroll in hand tool college","","Schwarz",""
"PWW","2008","6","169","18","Tricks of the Trade","Routing round tenons on dowels","","",""
"PWW","2008","6","169","20","Tricks of the Trade","Better bevel ripping","","",""
"PWW","2008","6","169","20","Tricks of the Trade","Mending a radial arm saw","","",""
"PWW","2008","6","169","20","Tricks of the Trade","Securing small pieces for spraying","","",""
"PWW","2008","6","169","20","Tricks of the Trade","Using miter gauge as bevel gauge","","",""
"PWW","2008","6","169","22","Tricks of the Trade","Mobilizing a contractor's saw","","",""
"PWW","2008","6","169","22","Tricks of the Trade","Scraping with glass","","",""
"PWW","2008","6","169","22","Tricks of the Trade","The pure way to wet wood","","",""
"PWW","2008","6","169","24","Arts & Mysteries","18th century chair making","building a 'rush bottemed chair' - part 1","Cherubini",""
"PWW","2008","6","169","28","I can do that","Mitered CD/DVD Rack","two tricks for taming miter joints","Lang",""
"PWW","2008","6","169","30","Tool Test","Get a (soft) grip on drill chucks","Jacobs chuck's Softgrip series of chucks increase hand torque to make drill bit slippage obsolete","",""
"PWW","2008","6","169","32","Tool Test","Blue Spruce paring chisels approach perfection","","",""
"PWW","2008","6","169","32","Tool Test","Milwaukee compact driver for drills","","",""
"PWW","2008","6","169","34","None","A tailored tea table","a graceful slipper-footed design enhanced with additional period details","Hue",""
"PWW","2008","6","169","43","Woodworking Essentials","Band saws","a better way to work - part 5","Adams",""
"PWW","2008","6","169","49","None","Jatoba bench","ebony spacers and plugs add visual interest to this indoor-outdoor Asian-inspired design","Johansen",""
"PWW","2008","6","169","56","None","Planecraft II: jointer & block planes","","Dunbar",""
"PWW","2008","6","169","62","None","Silver brazing your own band saw blades","save money and get better results by making your own blades","Wilson",""
"PWW","2008","6","169","66","I can do that","Build furniture without a shop","to build nice furniture you need three things: a handful of decent tools that you won't outgrow, some help getting started and some realistic projects to build","Schwarz",""
"PWW","2008","6","169","74","Great Woodshops","Woodworking with a mission","Tillers International teaches sustainable skills to help improve lives","Skiver",""
"PWW","2008","6","169","82","Jig Journal","Router dado jig","take the tool to the work for quick and accurate dados","Lang",""
"PWW","2008","6","169","86","Flexner on Finishing","Rules to finish by","they explain so much","Flexner",""
"PWW","2008","6","169","88","Out of the Woodwork","Does your shop speak English?","an ocean wide gap in terminology can cause confusion","Leon",""
"PWW","2008","8","170","10","Out on a Limb","A shout out for the wood whisperer","","Schwarz",""
"PWW","2008","8","170","12","Letters","Router plane is the best hand tool for sizing tenons to thickness","","",""
"PWW","2008","8","170","16","Tricks of the Trade","A back-saving vise extension","","",""
"PWW","2008","8","170","18","Tricks of the Trade","A hot tip for leveling throat plates","","",""
"PWW","2008","8","170","18","Tricks of the Trade","Creating a cord channel for a lamp base","","",""
"PWW","2008","8","170","18","Tricks of the Trade","Drawing squaring frame","","",""
"PWW","2008","8","170","18","Tricks of the Trade","Magnetic stop-block for the table saw","","",""
"PWW","2008","8","170","18","Tricks of the Trade","Quick rip fence adjustment","","",""
"PWW","2008","8","170","22","Arts & Mysteries","18th-century chairmaking II","builiding a 'rush bottemed chaire' - part 2","Cherubini",""
"PWW","2008","8","170","26","The Wood Whisperer","The magic of masking tape","find magic in the mundane using this humble problem solver","Spagnuolo",""
"PWW","2008","8","170","28","I can do that","Contemporary bookshelves","","Fitzpatrick",""
"PWW","2008","8","170","30","Tool Test","24 inch omnijig joinery system","Porter-Cable's solution to jig-cut joinery does the job, but it requires an additional outlay of funds to become a fully functioning system","Huey",""
"PWW","2008","8","170","32","Tool Test","Bosch jigsaw JS5: good performance with minimal investment","","Huey",""
"PWW","2008","8","170","32","Tool Test","Brese 800 series planes: custom details at a fair price","","Schwarz",""
"PWW","2008","8","170","34","Tool Test","Infinity's professional coping sled","","Huey",""
"PWW","2008","8","170","34","Tool Test","Norton's sharpening system in a box","","Schwarz",""
"PWW","2008","8","170","36","Endurance Test","Wayne Anderson smoother","a high-angle tool of last resort, this small plane can go anywhere and plane almost anything","Schwarz",""
"PWW","2008","8","170","38","None","Craftsman bookcase","this Craftsman-style bookcase incorporates authentic details such as wedged through-tenons - plus it has a secret drawer","Lang",""
"PWW","2008","8","170","46","None","Folding campaign table","this butler's tray-on-stand is typical of 18th-century knock-down furniture for the military campaign trail, with durable joints, simple design and ingenious hardware mechanisms","Rodriguez",""
"PWW","2008","8","170","51","Woodworking Essentials","Thickness planers","though planers seem simple and safe, there are some serious operational and safety issues to consider - follow these rules and your work will be better - and you won't get hurt","Adams",""
"PWW","2008","8","170","57","None","Federal furniture","how beautiful veneer, superb inlay and simple carving on Federal furniture became this author's raison d'etre in woodworking","Millard",""
"PWW","2008","8","170","62","None","Making multiple through mortise-and-tenon joints","wedged mortise-and-tenon joints add visual interest to any casework","Porcaro",""
"PWW","2008","8","170","66","None","Greene & Greene masterworks","a century ago, two sets of brothers conceived a design movement that combined Arts & Crafts and Asian aesthetics - enduring style instantly recognizable today","Mathias, Lang",""
"PWW","2008","8","170","76","Flexner on Finishing","The 7 myths of polyurethane","off repeated rules that are, quite simply, wrong","Flexner",""
"PWW","2008","8","170","80","Out of the Woodwork","Memories and milestones: the Gamble House Centennial","connecting an Arts & Crafts icon with the men who made it 100 years ago","Mathias",""
"PWW","2008","10","171","12","Out on a Limb","Abandon ship - before it sinks","","Schwarz",""
"PWW","2008","10","171","14","Letters","Tenons wider than 6 inch should be split in two","","",""
"PWW","2008","10","171","18","Tricks of the Trade","Shopmade beam compass","","",""
"PWW","2008","10","171","20","Tricks of the Trade","Cleaner erasing","","",""
"PWW","2008","10","171","20","Tricks of the Trade","Pooping plugs","","",""
"PWW","2008","10","171","20","Tricks of the Trade","Quick, slick burnisher","","",""
"PWW","2008","10","171","20","Tricks of the Trade","Safer ripping of short stck","","",""
"PWW","2008","10","171","22","Tricks of the Trade","Clamping edges with wedges","","",""
"PWW","2008","10","171","22","Tricks of the Trade","Offset detail sander","","",""
"PWW","2008","10","171","22","Tricks of the Trade","Power sandpaper in a pinch","","",""
"PWW","2008","10","171","22","Tricks of the Trade","Reversible bench hook","","",""
"PWW","2008","10","171","24","Arts & Mysteries","A Joynt Forme","this 17th century seating piece is good practice for what came after","Cherubini",""
"PWW","2008","10","171","30","Tool Test","Steel City granite top tools","these surfaces are truly flat, have less vibration, are easier to set up and no rust - ever","",""
"PWW","2008","10","171","31","Tool Test","Festool router OF2200","innovative in every detail","",""
"PWW","2008","10","171","32","Tool Test","Ashley Iles chisels just for dovetailing","","",""
"PWW","2008","10","171","32","Tool Test","Blum Tool bench planes offer precise control","","",""
"PWW","2008","10","171","34","None","21st century workbench: a hybrid design that holds work any which way you want to","this knockdown behemoth combines several historic forms in one design that is perfectly suited for a modern workshop","Lang",""
"PWW","2008","10","171","45","Woodworking Essentials","Table saws","the table saw makes many cuts easier - but it's a dangerous machine when not used properly - here, you'll learn the mechanics, methods and techniques to use this versatile workhorse while avoiding injury","Adams",""
"PWW","2008","10","171","52","None","Layout tools","whether you do hand or machine work, good layout tools and the knowledge of how to use them properly are essential for good work","Dunbar",""
"PWW","2008","10","171","58","None","Random-orbit sander shootout; 10 makes are tested","Bosch, Crafstman, DeWalt, Festool, Hitachi, Makita, Milwaukee, Porter-Cable (2x), Ridgid","Huey",""
"PWW","2008","10","171","64","None","Taming hand plane tear-out","over the years, we have collected a number of myths and solutions about avoiding tearout - here's what seems to work - and what doesn't","Schwarz",""
"PWW","2008","10","171","70","None","Greene & Greene: details and joinery","it's the little things that truly distinguish the iconic Greene & Greene design - in this second of a three-part series, you'll get a close-up look at some famous furniture details and a taste of craftsmanship that is on a higher plane than most things made today","Mathis, Lang",""
"PWW","2008","10","171","78","The Wood Whisperer","My favorite power tool accessories","hand tool complement and complete work begun with power equipment","Spagnuolo",""
"PWW","2008","10","171","84","Flexner on Finishing","Shellac and sealing wood","clearing up the confusion","Flexner",""
"PWW","2008","11","172","12","None","My weird relationship with my router","","Schwarz",""
"PWW","2008","11","172","14","Letters","Curved bricked rim can be constructed from 9-1/4 in pieces","","",""
"PWW","2008","11","172","18","Tricks of the Trade","More angle from a miter gauge","","",""
"PWW","2008","11","172","20","Tricks of the Trade","Better sanding disc storage","","",""
"PWW","2008","11","172","20","Tricks of the Trade","Stopping set screw spin","","",""
"PWW","2008","11","172","22","Tricks of the Trade","Self adhesive clamp pads","","",""
"PWW","2008","11","172","22","Tricks of the Trade","Stick and tape rule measuring","","",""
"PWW","2008","11","172","22","Tricks of the Trade","Zero clearance saw top skin","","",""
"PWW","2008","11","172","24","Arts & Mysteries","18th-century chairmaking","building a Philadelphia Chippendale chair - part 1","Cherubini",""
"PWW","2008","11","172","30","The Wood Whisperer","Varnish on a butcher block?  Yep!","there is nothing wrong with tradition - but tradition is time consuming","Spagnuolo",""
"PWW","2008","11","172","32","Tool Test","New Bosch T308B blades for jigsaw clean house","called 'Extra Clean for Wood'","",""
"PWW","2008","11","172","32","Tool Test","Triton's bargain sander","a nice price and extra sanding sleeves make this spindle sander a good choice","",""
"PWW","2008","11","172","34","Tool Test","Dual disc sander reduces vibration (Craftsman Vibrafree random orbital sander)","","",""
"PWW","2008","11","172","34","Tool Test","Handmade Hamilton marking gauges","","",""
"PWW","2008","11","172","36","None","Dirt-simple router jigs","improve your router technique with 11 simple shopmade jigs that are easy to use and just as simple to build","Huey",""
"PWW","2008","11","172","42","None","Bowsaw basics","bowsaws were the workhorse of the European handtool shop - and they're still useful today","Klausz",""
"PWW","2008","11","172","53","None","Colonial era plate rack","this walnut plate rack, a reproduction based on drawings from a 1765 tavern original, uses 40 feet of moulding - but brads make it surprisingly simple to make (and authentic)","Pierce",""
"PWW","2008","11","172","58","None","First fan carving","with just five tools and a little bit of practice, you can easily create this classic design feature to enhance any traditional project","Huey",""
"PWW","2008","11","172","63","None","Avoid kickback at the table saw","the fundamental rules and devices to keep you clear of danger at your saw","Adams",""
"PWW","2008","11","172","66","None","Everyday Greene & Greene","the incredibly high level of design detail didn't stop at the front of the house for the Greene brothers - here, we take a tour of the non-public spaces - the kitchen and baths - of 10 Greene & Greene homes","Mathias, Lang",""
"PWW","2008","11","172","72","None","Building a skateboard in a vacuum","discover how to bend complex curves into a custom skateboard deck with a piece of foam, a plastic bag and a vacuum-press pump from a kit","Lang",""
"PWW","2008","11","172","76","None","Imitation could be illegal","many iconic designs are legally protected; research before you copy","Shackelford",""
"PWW","2008","11","172","80","Jig Journal","Flush-cutting jig","an end to the troublesome task of trimming solid wood edging","Schwarz",""
"PWW","2008","11","172","84","I can do that","Corner shelf","this handsome hanging storage unit is a snap to build with screwd butt joints","Fitzpatrick",""
"PWW","2008","11","172","90","Flexner on Finishing","Applying wiping varnish","practice makes perfect","Flexner",""
"PWW","2008","11","172","96","Out of the Woodwork","Pink lemonade","an old piece of MDF brings back happy memories","Mallard",""
"PWW","2008","12","173","12","Out on a Limb","The power of candlepower","","Schwarz",""
"PWW","2008","12","173","14","Letters","The etymology of'Frog' as it refers to handplanes","","",""
"PWW","2008","12","173","18","Tricks of the Trade","Mitered banding","","",""
"PWW","2008","12","173","20","Tricks of the Trade","A dovetail reference joint","","",""
"PWW","2008","12","173","20","Tricks of the Trade","Safe straightedge storage","","",""
"PWW","2008","12","173","22","Tricks of the Trade","A fence extension on the cheap","","",""
"PWW","2008","12","173","22","Tricks of the Trade","Clean, easy epoxy - the pastry chef way","","",""
